Name,RepoUrl,Subfolder,RequirementsFile
ComfyUI-Manager,https://github.com/ltdrdata/ComfyUI-Manager.git,,
ComfyUI-Impact-Pack,https://github.com/ltdrdata/ComfyUI-Impact-Pack.git,,requirements.txt
ComfyUI-Impact-Subpack,https://github.com/ltdrdata/ComfyUI-Impact-Subpack.git,ComfyUI-Impact-Pack/impact_subpack,requirements.txt
ComfyUI-GGUF,https://github.com/city96/ComfyUI-GGUF.git,,requirements.txt
ComfyUI-mxToolkit,https://github.com/Smirnov75/ComfyUI-mxToolkit.git,,
ComfyUI-Custom-Scripts,https://github.com/pythongosssss/ComfyUI-Custom-Scripts.git,,
ComfyUI-KJNodes,https://github.com/kijai/ComfyUI-KJNodes.git,,requirements.txt
ComfyUI-WanVideoWrapper,https://github.com/kijai/ComfyUI-WanVideoWrapper.git,,requirements.txt
ComfyUI-VideoHelperSuite,https://github.com/Kosinkadink/ComfyUI-VideoHelperSuite.git,,requirements.txt
ComfyUI-Frame-Interpolation,https://github.com/Fannovel16/ComfyUI-Frame-Interpolation.git,,requirements-no-cupy.txt
rgthree-comfy,https://github.com/rgthree/rgthree-comfy.git,,requirements.txt
ComfyUI-Easy-Use,https://github.com/yolain/ComfyUI-Easy-Use.git,,requirements.txt
ComfyUI-HunyuanVideoMultiLora,https://github.com/facok/ComfyUI-HunyuanVideoMultiLora.git,,
was-node-suite-comfyui,https://github.com/WASasquatch/was-node-suite-comfyui.git,,requirements.txt
ComfyUI-Florence2,https://github.com/kijai/ComfyUI-Florence2.git,,requirements.txt
ComfyUI-MultiGPU,https://github.com/pollockjj/ComfyUI-MultiGPU.git,,
ComfyUI-WanStartEndFramesNative,https://github.com/Flow-two/ComfyUI-WanStartEndFramesNative.git,,
ComfyUI-Image-Saver,https://github.com/alexopus/ComfyUI-Image-Saver.git,,requirements.txt
ComfyUI_UltimateSDUpscale,https://github.com/ssitu/ComfyUI_UltimateSDUpscale.git,,
comfyui_controlnet_aux,https://github.com/Fannovel16/comfyui_controlnet_aux.git,,requirements.txt
x-flux-comfyui,https://github.com/XLabs-AI/x-flux-comfyui.git,,requirements.txt
ComfyUI-Detail-Daemon,https://github.com/Jonseed/ComfyUI-Detail-Daemon.git,,requirements.txt
ComfyUI-TeaCache,https://github.com/welltop-cn/ComfyUI-TeaCache.git,,requirements.txt
ComfyUI-Crystools,https://github.com/crystian/ComfyUI-Crystools.git,,requirements.txt
ComfyUI-nunchaku,https://github.com/mit-han-lab/ComfyUI-nunchaku,,requirements.txt
ComfyUI-NAG,https://github.com/ChenDarYen/ComfyUI-NAG,,
wlsh_nodes,https://github.com/wallish77/wlsh_nodes,,requirements.txt
ComfyUI_essentials,https://github.com/cubiq/ComfyUI_essentials,,requirements.txt
ComfyUI-wanBlockswap,https://github.com/orssorbit/ComfyUI-wanBlockswap,,
Derfuu_ComfyUI_ModdedNodes,https://github.com/Derfuu/Derfuu_ComfyUI_ModdedNodes,,
ComfyUI_LayerStyle,https://github.com/chflame163/ComfyUI_LayerStyle,,requirements.txt
ComfyUI-MagCache,https://github.com/Zehong-Ma/ComfyUI-MagCache,,requirements.txt
ComfyUI-Upscaler-Tensorrt,https://github.com/yuvraj108c/ComfyUI-Upscaler-Tensorrt,,requirements.txt
comfyui-vrgamedevgirl,https://github.com/vrgamegirl19/comfyui-vrgamedevgirl,,requirements.txt
